"Timestamp","Student's ID","Gender","Bac II's Overall Grade","Bac II Mathematics Grade","Department","Do you have difficulties engaging in your online classes during this Covid-19 outbreak?","What kind of difficulties do you commonly have during this period?","I gather with friends to study mathematics as a group.","I seek advice or explanation from my friends, seniors or those who know more about mathematics problems outside formal class hours.","I try to start my homework immediately after math class.","I have a specific time to study mathematics.","I am careful to keep up-to-date with math homework.","I study math eight to ten hours a week besides classroom hours.","I attend math tutor sessions regularly.","I read my math textbook before coming to class.","If I have trouble understanding the text, I find an alternate text or books.","I take notes during my mathematics classes.","I am careful to copy all the steps of math problems in my notes.","I ask questions when I am confused.","I go to the instructor or tutor center when I am confused.","I try to determine exactly when I got confused and exactly what confused me.","I review my notes and text before beginning the homework.","I work problems until I understand them, not just until I get the answers listed in the back of the book.","I develop memory techniques to remember math concepts.","Sought advice from academic staff including lecturers and/or consulting adviser (via Telegram or during online classes...)","Made a class or online presentation on your assigned work.","Worked hard to master difficult contents or lessons in your classes.","Used library resources on campus or online to do your work or expand your horizons.","Worked on an assignment (TD/TP) that required integrating ideas or information from various sources.","Worked with other students on teamwork/projects during class.","Worked with other students outside class to prepare assignments (either during online classes or personal hours).","Used an online learning system to discuss or complete an assignment.","Discussed your grades or assignments with lecturers.","Talked about your career plans or choosing department or majors with friends, seniors, lecturers or advisors.","Discussed ideas from your readings or classes with lecturers outside class.","Received prompt written or oral feedback from lecturers on your academic performance.","Worked harder than you thought you could to meet your lecturers’ standards or expectations.","Discussed ideas from your readings or classes with others outside class (e.g. friends, seniors, lecturers etc.)","I always prepare myself well for my math classes, tests and quizzes.","I often motivate myself to get a good score in math.","I always pay full attention during my math classes.","Mathematics is important for my study and future career.","I feel confident in my abilities to solve mathematics problems.","I can understand my math teacher’s explanation easily.","I spend lots of time to practice mathematics or work on assignments.","I would prefer to write a math assignment than write an essay.","I believe studying of math helps me with problem solving in other subjects.","I like to solve new problems in mathematics.","I am happier in a math class than in any other classes.","It would not bother me at all to take more math courses.","I have usually been at ease during math test.","I have usually been at ease during math course.","I often feel tense and bored in my mathematics class.","I always feel nervous in quizzes or exams of math.","I don’t like working on the homework given by my mathematics teacher.","I am not eager to participate in discussions that involve mathematics.","I get a sinking feeling when I think of trying hard math problems.","My mind goes blank and I am unable to think clearly when working mathematics.","Mathematics makes me feel uneasy and confused.","I feel more nervous and anxious than usual.","I feel afraid for no reason at all.","I get upset easily or feel panicky.","I feel like I’m falling apart and going to pieces.","I feel that everything is all right and nothing bad will happen.","My arms and legs shake and tremble.","I am bothered by headaches neck and back pain.","I feel weak and get tired easily."," I feel calm and can sit still easily.","I can feel my heart beating fast.","I am bothered by dizzy spells.","I have fainting spells or feel like it.","I can breathe in and out easily.","I get numbness and tingling in my fingers and toes.","I am bothered by stomach aches or indigestion.","I have to empty my bladder often.","My hands are usually dry and warm.","My face gets hot and blushes.","I fall asleep easily and get a good night’s rest.","I have nightmares.","Semester 1: Calculus II","Semester 1: Probability and Statistics","Semester 1: Differential Equation","Annual Score"
"2021/08/15 11:49:37 AM GMT+7","e20191075","Male","B","A","GCI","Yes","Adapt to online learning approach;Devices use in online learning (inadequate)","","","","","","","","","","","","","","","","","","Sometimes","Sometimes","Often","Sometimes","Very Often","Sometimes","Sometimes","Often","Often","Often","Sometimes","Often","Often","Sometimes","Agree","Agree","Agree","Strongly Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Disagree","Disagree","Neutral","Neutral","Neutral","Some of the time","Some of the time","Some of the time","A little of the time","Some of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","Good part of the time","Some of the time","Some of the time","Some of the time","A little of the time","A little of the time","Some of the time","A little of the time","78.51","75.95","84.3","74.53"
"2021/08/15 11:57:29 AM GMT+7","e20190616","Male","B","A","GIM","Yes","Low internet speed (cannot hear/see well, ...);Distraction (home environment, surrounding, people ...);Self motivation","Sometimes","Always","Almost Never","Always","Sometimes","Rarely","Sometimes","Sometimes","Always","Rarely","Rarely","Rarely","Rarely","Always","Rarely","Always","Rarely","Sometimes","Sometimes","Often","Sometimes","Often","Very Often","Very Often","Often","Sometimes","Never","Sometimes","Sometimes","Sometimes","Sometimes","Agree","Agree","Agree","Strongly Agree","Agree","Neutral","Neutral","Strongly Agree","Agree","Agree","Strongly Agree","Neutral","Agree","Agree","Disagree","Neutral","Disagree","Neutral","Neutral","Neutral","Disagree","A little of the time","Some of the time","Some of the time","Some of the time","Some of the time","Most of the time","A little of the time","A little of the time","Good part of the time","A little of the time","A little of the time","A little of the time","Good part of the time","A little of the time","A little of the time","Some of the time","A little of the time","A little of the time","Good part of the time","A little of the time","81,53","82,3","85,2","81,41"
"2021/08/15 11:57:47 AM GMT+7","e20190645","Male","D","D","GGG","Yes","Low internet speed (cannot hear/see well, ...);Distraction (home environment, surrounding, people ...)","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Always","Always","Sometimes","Sometimes","Often","Sometimes","Sometimes","Sometimes","Often","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Often","Often","Sometimes","Agree","Agree","Agree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Some of the time","A little of the time","A little of the time","A little of the time","Good part of the time","A little of the time","","A little of the time","Good part of the time","","A little of the time","","Most of the time","","","","","","Good part of the time","","54.07","66.6","66.99","63.78"
"2021/08/15 11:59:36 AM GMT+7","e20190726","Male","C","B","GIM","Yes","Low internet speed (cannot hear/see well, ...)","Never Even Thought of","Almost Never","Rarely","Sometimes","Sometimes","Always","Sometimes","Always","Always","Rarely","Sometimes","Sometimes","Sometimes","Always","Almost Never","Rarely","Rarely","Often","Sometimes","Often","Often","Sometimes","Very Often","Often","Sometimes","Very Often","Often","Very Often","Very Often","Often","Sometimes","Neutral","Agree","Neutral","Strongly Agree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Strongly Agree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Disagree","Agree","Neutral","Disagree","A little of the time","Good part of the time","Some of the time","Some of the time","Most of the time","Some of the time","Good part of the time","Most of the time","A little of the time","Most of the time","A little of the time","Good part of the time","Most of the time","Some of the time","Some of the time","Most of the time","Good part of the time","A little of the time","Good part of the time","Good part of the time","73.62","43.90","70.30","63.36"
"2021/08/15 12:02:05 PM GMT+7","e20191050","Female","C","C","CGA","Yes","Low internet speed (cannot hear/see well, ...);Distraction (home environment, surrounding, people ...);Self motivation","Rarely","Sometimes","Always","Sometimes","Always","Sometimes","Always","Sometimes","Sometimes","Always","Always","Always","Rarely","Always","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Often","Sometimes","Often","Neutral","Agree","Agree","Strongly Agree","Neutral","Disagree","Agree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Disagree","Neutral","Neutral","Agree","Good part of the time","Some of the time","A little of the time","Good part of the time","Good part of the time","Some of the time","Most of the time","Some of the time","Some of the time","Good part of the time","Some of the time","Some of the time","Some of the time","Some of the time","A little of the time","Good part of the time","Some of the time","Good part of the time","Good part of the time","Good part of the time","70","70","65","78"
"2021/08/15 12:03:49 PM GMT+7","e20190582","Male","C","D","GEE","No","Devices use in online learning (inadequate);Distraction (home environment, surrounding, people ...)","Sometimes","Sometimes","Always","Sometimes","Sometimes","Sometimes","Sometimes","Always","Sometimes","Always","Sometimes","Sometimes","Sometimes","Always","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Often","Sometimes","Often","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Often","Sometimes","Agree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Disagree","Neutral","Disagree","Neutral","Disagree","Disagree","Neutral","Disagree","Neutral","Some of the time","Good part of the time","A little of the time","A little of the time","Some of the time","A little of the time","A little of the time","Some of the time","Some of the time","A little of the time","A little of the time","A little of the time","Most of the time","A little of the time","Some of the time","Good part of the time","Good part of the time","Some of the time","Some of the time","A little of the time","85.71","74.6","81.3","77.14"
"2021/08/15 12:06:54 PM GMT+7","e20190782","Male","C","D","GCI","Yes","Low internet speed (cannot hear/see well, ...);Online class is not interactive;Devices use in online learning (inadequate)","Almost Never","Almost Never","Always","Always","Always","Always","Always","Always","Sometimes","Always","Always","Always","Always","Always","Always","Always","Always","Often","Often","Often","Sometimes","Often","Sometimes","Never","Sometimes","Sometimes","Never","Sometimes","Sometimes","Sometimes","Sometimes","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Neutral","Some of the time","Some of the time","Some of the time","A little of the time","Some of the time","A little of the time","A little of the time","A little of the time","Some of the time","A little of the time","A little of the time","A little of the time","Some of the time","A little of the time","A little of the time","Some of the time","Some of the time","Some of the time","Some of the time","A little of the time","80","65","55","70"
"2021/08/15 12:07:17 PM GMT+7","e20191295","Male","B","B","OAC","Yes","Low internet speed (cannot hear/see well, ...);Devices use in online learning (inadequate);Distraction (home environment, surrounding, people ...)","Almost Never","Rarely","Sometimes","Always","Sometimes","Sometimes","Always","Rarely","Sometimes","Always","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Agree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Strongly Disagree","Agree","Disagree","Neutral","Neutral","Neutral","Neutral","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","A little of the time","A little of the time","A little of the time","A little of the time","Some of the time","A little of the time","A little of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","65","52","55","67.53"
"2021/08/15 12:08:23 PM GMT+7","e20190210","Male","C","A","GIC","No","Low internet speed (cannot hear/see well, ...);Online class is not interactive;Self motivation","Never Even Thought of","Sometimes","Rarely","Almost Never","Rarely","Rarely","Always","Almost Never","Rarely","Sometimes","Almost Never","Sometimes","Never Even Thought of","Rarely","Sometimes","Always","Sometimes","Often","Never","Sometimes","Sometimes","Often","Never","Never","Never","Never","Often","Never","Sometimes","Never","Sometimes","Neutral","Neutral","Agree","Strongly Agree","Disagree","Neutral","Neutral","Disagree","Strongly Agree","Neutral","Agree","Neutral","Disagree","Neutral","Agree","Strongly Agree","Neutral","Neutral","Agree","Strongly Agree","Neutral","Some of the time","A little of the time","A little of the time","A little of the time","Good part of the time","A little of the time","A little of the time","A little of the time","Most of the time","A little of the time","A little of the time","A little of the time","Most of the time","A little of the time","A little of the time","Some of the time","Some of the time","A little of the time","Most of the time","A little of the time","71.65","82.99","84.3","73.5"
"2021/08/15 12:08:28 PM GMT+7","e20190723","Male","B","B","GCI","No","Low internet speed (cannot hear/see well, ...)","Rarely","Sometimes","Sometimes","Always","Always","Always","Sometimes","Sometimes","Sometimes","Sometimes","Always","Sometimes","Rarely","Sometimes","Sometimes","Always","Always","Often","Sometimes","Often","Very Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Very Often","Often","Often","Sometimes","Sometimes","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Disagree","Neutral","Strongly Disagree","Disagree","Disagree","Neutral","Disagree","Some of the time","A little of the time","Some of the time","A little of the time","Good part of the time","Some of the time","A little of the time","A little of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","100","100","93","90.27"
"2021/08/15 12:08:45 PM GMT+7","e20190568","Female","A","A","GIM","No","Low internet speed (cannot hear/see well, ...);Distraction (home environment, surrounding, people ...)","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Sometimes","Rarely","Always","Sometimes","Always","Sometimes","Sometimes","Very Often","Very Often","Very Often","Very Often","Often","Sometimes","Often","Sometimes","Often","Sometimes","Sometimes","Very Often","Very Often","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Disagree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Strongly Disagree","Some of the time","Some of the time","Some of the time","Some of the time","Good part of the time","A little of the time","Most of the time","Good part of the time","Good part of the time","Some of the time","Some of the time","Some of the time","Good part of the time","Some of the time","Some of the time","Some of the time","Good part of the time","A little of the time","Some of the time","Some of the time","95.31","98.76","98.79","89.75"
"2021/08/15 12:11:44 PM GMT+7","e20191217","Male","C","C","GIC","Yes","Low internet speed (cannot hear/see well, ...);Online class is not interactive","Sometimes","Sometimes","Always","Always","Always","Sometimes","Sometimes","Always","Always","Always","Sometimes","Sometimes","Sometimes","Sometimes","Always","Always","Always","Sometimes","Sometimes","Often","Sometimes","Sometimes","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","A little of the time","Some of the time","Some of the time","A little of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Most of the time","Most of the time","Some of the time","Some of the time","80.13","51.25 and 65","42.9 ","64"
"2021/08/15 12:11:58 PM GMT+7","e20190618","Male","B","B","GCI","Yes","Low internet speed (cannot hear/see well, ...);Distraction (home environment, surrounding, people ...);Self motivation","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Almost Never","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Rarely","Rarely","Rarely","Sometimes","Rarely","Sometimes","Often","Sometimes","Never","Sometimes","Sometimes","Often","Sometimes","Sometimes","Never","Sometimes","Never","Sometimes","Never","Sometimes","Neutral","Agree","Agree","Strongly Agree","Neutral","Agree","Disagree","Neutral","Agree","Agree","Neutral","Neutral","Disagree","Neutral","Neutral","Agree","Disagree","Agree","Agree","Agree","Neutral","Most of the time","Most of the time","Good part of the time","Good part of the time","Some of the time","Good part of the time","A little of the time","Some of the time","Good part of the time","Good part of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","Some of the time","Most of the time","A little of the time","73.33","41","70.68","64.91"
"2021/08/15 12:12:11 PM GMT+7","e20190966","Male","C","C","GCI ","Yes","Low internet speed (cannot hear/see well, ...);Devices use in online learning (inadequate)","Sometimes","Sometimes","Sometimes","Sometimes","Always","Rarely","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Rarely","Sometimes","Often","Often","Sometimes","Often","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Often","Neutral","Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Agree","Disagree","Neutral","Disagree","Disagree","Neutral","Disagree","Neutral","Some of the time","A little of the time","Some of the time","A little of the time","Good part of the time","Some of the time","Good part of the time","Some of the time","Most of the time","Some of the time","Good part of the time","Good part of the time","Some of the time","Some of the time","A little of the time","Good part of the time","A little of the time","Most of the time","Good part of the time","Some of the time","25/50","40/50","35/50","134"
"2021/08/15 12:13:30 PM GMT+7","E20191062","Male","C","D","Gci","Yes","Low internet speed (cannot hear/see well, ...);Online class is not interactive;Distraction (home environment, surrounding, people ...);Self motivation","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Always","Rarely","Rarely","Sometimes","Always","Almost Never","Never Even Thought of","Always","Rarely","Sometimes","Always","Sometimes","Sometimes","Sometimes","Never","Often","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Often","Strongly Agree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Strongly Disagree","Agree","Disagree","Neutral","Neutral","Strongly Agree","Neutral","Neutral","Neutral","Disagree","Neutral","Agree","Neutral","Neutral","Good part of the time","Some of the time","Some of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","Good part of the time","A little of the time","A little of the time","A little of the time","Good part of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","Good part of the time","A little of the time","90.51","80.95","87.65","83.05"
"2021/08/15 12:15:19 PM GMT+7","An Lyheng","Male","B","B","GCI","Yes","Devices use in online learning (inadequate);Self motivation","Almost Never","Almost Never","Sometimes","Always","Sometimes","Rarely","Sometimes","Rarely","Sometimes","Always","Always","Rarely","Rarely","Rarely","Always","Always","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Often","Never","Never","Never","Never","Sometimes","Never","Agree","Agree","Neutral","Strongly Agree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Disagree","Neutral","Neutral","Disagree","Agree","Neutral","Disagree","Agree","Agree","Agree","Some of the time","Some of the time","Good part of the time","Some of the time","Some of the time","Good part of the time","Good part of the time","Good part of the time","Some of the time","Most of the time","A little of the time","A little of the time","Most of the time","A little of the time","A little of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","A little of the time","87","80","75","80"
"2021/08/15 12:16:48 PM GMT+7","e20191121","Female","C","E","GIC","No","Self motivation","Sometimes","Always","Sometimes","Always","Always","Always","Always","Sometimes","Always","Always","Always","Rarely","Sometimes","Always","Always","Always","Sometimes","Never","Sometimes","Often","Sometimes","Often","Very Often","Very Often","Very Often","Never","Sometimes","Never","Sometimes","Sometimes","Sometimes","Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Strongly Agree","Neutral","Strongly Disagree","Neutral","Neutral","Agree","Neutral","Disagree","Agree","Strongly Agree","Neutral","Some of the time","A little of the time","Some of the time","Most of the time","Some of the time","Some of the time","Good part of the time","Good part of the time","Some of the time","Some of the time","A little of the time","A little of the time","Some of the time","A little of the time","Some of the time","Some of the time","Most of the time","A little of the time","Most of the time","A little of the time","77.85","75.01","78.3","74.44"
"2021/08/15 12:17:12 PM GMT+7","e20190628","Male","A","A","GIM","Yes","Low internet speed (cannot hear/see well, ...);Distraction (home environment, surrounding, people ...)","Rarely","Rarely","Always","Always","Always","Sometimes","Always","Sometimes","Always","Sometimes","Always","Always","Rarely","Always","Always","Sometimes","Always","Very Often","Sometimes","Sometimes","Often","Very Often","Often","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Often","Often","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Neutral","Disagree","A little of the time","Some of the time","A little of the time","A little of the time","Some of the time","A little of the time","Good part of the time","A little of the time","Some of the time","Some of the time","Some of the time","A little of the time","Most of the time","Good part of the time","Good part of the time","Some of the time","Some of the time","Some of the time","Most of the time","Some of the time","70","80","80","80"
"2021/08/15 12:19:28 PM GMT+7","e20191111","Male","C","C","OAC","Yes","Low internet speed (cannot hear/see well, ...);Online class is not interactive;Distraction (home environment, surrounding, people ...)","Rarely","Rarely","Sometimes","Sometimes","Rarely","Rarely","Rarely","Always","Always","Always","Always","Rarely","Almost Never","Sometimes","Always","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Often","Often","Often","Often","Often","Sometimes","Never","Sometimes","Sometimes","Sometimes","Sometimes","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Agree","Disagree","Disagree","Disagree","Neutral","Neutral","Disagree","Neutral","Some of the time","A little of the time","Some of the time","Some of the time","Some of the time","A little of the time","Some of the time","Some of the time","Some of the time","Some of the time","A little of the time","A little of the time","Good part of the time","A little of the time","Some of the time","A little of the time","Some of the time","A little of the time","Good part of the time","A little of the time","55.62","70.44","71.05","71.56"
"2021/08/15 12:21:31 PM GMT+7","e20190984","Female","B","A","GIM","Yes","Low internet speed (cannot hear/see well, ...);Online class is not interactive;Distraction (home environment, surrounding, people ...)","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Always","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Always","Often","Sometimes","Often","Often","Often","Sometimes","Sometimes","Often","Sometimes","Very Often","Sometimes","Sometimes","Often","Sometimes","Neutral","Agree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","A little of the time","A little of the time","Some of the time","A little of the time","Good part of the time","Some of the time","A little of the time","Some of the time","Good part of the time","Some of the time","Some of the time","Some of the time","Good part of the time","Some of the time","Some of the time","A little of the time","A little of the time","Some of the time","Some of the time","Some of the time","88","67.25","79.2","."
"2021/08/15 12:25:14 PM GMT+7","e20191294","Male","D","E","GEE","Yes","Low internet speed (cannot hear/see well, ...);Distraction (home environment, surrounding, people ...)","Almost Never","Rarely","Sometimes","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Often","Often","Often","Often","Often","Sometimes","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Some of the time","A little of the time","Some of the time","Some of the time","Some of the time","Some of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","Some of the time","A little of the time","","A little of the time","55.97","47.9","81.34","Don't understand"
"2021/08/15 12:27:51 PM GMT+7","e20190661","Male","C","B","GIM","Yes","Self motivation","Almost Never","Sometimes","Always","Always","Sometimes","Always","Sometimes","Always","Sometimes","Always","Always","Sometimes","Sometimes","Always","Always","Always","Always","Often","Sometimes","Sometimes","Often","Often","Sometimes","Sometimes","Sometimes","Never","Sometimes","Never","Often","Often","Sometimes","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Disagree","Neutral","Agree","Agree","Disagree","Disagree","Disagree","Neutral","Agree","Strongly Agree","Strongly Agree","Some of the time","Most of the time","Most of the time","Good part of the time","A little of the time","Some of the time","Most of the time","Most of the time","Some of the time","Some of the time","Good part of the time","A little of the time","Some of the time","A little of the time","Some of the time","Most of the time","Most of the time","Most of the time","Most of the time","Good part of the time","70.87","58.6","87.65","63.53"
"2021/08/15 12:28:07 PM GMT+7","e20191165","Female","D","E","CGA","Yes","Low internet speed (cannot hear/see well, ...);Adapt to online learning approach;Distraction (home environment, surrounding, people ...);Self motivation","Rarely","Sometimes","Sometimes","Always","Sometimes","Sometimes","Always","Sometimes","Sometimes","Always","Always","Sometimes","Rarely","Always","Always","Sometimes","Always","Often","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Often","Never","Often","Never","Often","Sometimes","Sometimes","Agree","Agree","Neutral","Strongly Agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Disagree","Agree","Agree","Agree","Some of the time","Some of the time","A little of the time","A little of the time","Some of the time","A little of the time","Good part of the time","Some of the time","Some of the time","A little of the time","A little of the time","A little of the time","Good part of the time","Some of the time","Some of the time","A little of the time","Some of the time","Some of the time","A little of the time","Some of the time","71.65","75.95","68.33","73.66"
"2021/08/15 12:33:16 PM GMT+7","e20190660","Female","D","B","GCI ","Yes","Low internet speed (cannot hear/see well, ...);Online class is not interactive;Adapt to online learning approach;Devices use in online learning (inadequate);Distraction (home environment, surrounding, people ...);Self motivation","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Always","Rarely","Sometimes","Sometimes","Rarely","Almost Never","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Often","Often","Sometimes","Never","Sometimes","Sometimes","Sometimes","Often","Never","Never","Never","Never","Sometimes","Sometimes","Neutral","Agree","Neutral","Strongly Agree","Neutral","Agree","Neutral","Disagree","Agree","Neutral","Neutral","Neutral","Disagree","Neutral","Agree","Agree","Disagree","Neutral","Neutral","Agree","Agree","Most of the time","Most of the time","Most of the time","Most of the time","Good part of the time","A little of the time","Most of the time","Most of the time","Some of the time","A little of the time","Some of the time","Some of the time","Some of the time","Some of the time","Most of the time","Good part of the time","Most of the time","A little of the time","A little of the time","Most of the time","87.35","88.65","51.63","73.17"
"2021/08/15 12:33:33 PM GMT+7","e20191283","Female","C","B","CGA","Yes","Low internet speed (cannot hear/see well, ...)","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Always","Always","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Very Often","Very Often","Very Often","Often","Often","Often","Very Often","Very Often","Often","Often","Often","Very Often","Very Often","Often","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Some of the time","Some of the time","Some of the time","Some of the time","Good part of the time","Some of the time","Some of the time","Some of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Most of the time","Most of the time","Some of the time","Some of the time","Good part of the time","Some of the time","Good part of the time","Some of the time","76.73","64","72","76.74"
"2021/08/15 12:34:06 PM GMT+7","e20190357","Female","A","B","GIC","Yes","Low internet speed (cannot hear/see well, ...);Online class is not interactive;Adapt to online learning approach;Devices use in online learning (inadequate);Distraction (home environment, surrounding, people ...);Self motivation","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Almost Never","Sometimes","Always","Always","Sometimes","Rarely","Never Even Thought of","Never Even Thought of","Rarely","Sometimes","Rarely","Almost Never","Never","Never","Sometimes","Never","Sometimes","Sometimes","Sometimes","Sometimes","Never","Often","Never","Never","Never","Sometimes","Disagree","Agree","Agree","Neutral","Strongly Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Disagree","Disagree","Neutral","Strongly Disagree","Disagree","Disagree","Agree","Agree","Agree","Most of the time","Most of the time","Most of the time","Most of the time","A little of the time","Most of the time","A little of the time","Good part of the time","A little of the time","Most of the time","Some of the time","Some of the time","A little of the time","Most of the time","Most of the time","Good part of the time","A little of the time","Good part of the time","A little of the time","A little of the time","73.94","72.95","69.3","73.5"
